01,Tran Van A,1999,0954123678
02,Nguyen Thi B,1994,0321456789
03,Mach Hao C,1994,0321456789
KH3,hoang,2003,0961814002
KH4,hoang,2003,0961814002
KH5,hoang,2003,0961914002
KH6,hoang,2003,0961814002
KH7,hoang,2003,0961814002
KH8,hoang,2003,0961814002
KH9,hoang,2003,0961814002
KH10,hoang,2003,0961814002
KH11,hoang,2003,0961814002
KH12,hoang,2003,0961814002
KH13,hoang,2003,0961814002
KH14,hoang,2003,0961814002
KH15,haong,2003,0961814002
KH16,hong,2003,0961814002
KH17,hoang,2003,0961981002
KH18,hoang,2003,0961814002
KH19,hoang,2003,0961814002
KH20,hoang,2003,0961814002
KH21,hoang,2003,0961814002
KH22,hoang,2003,0961814002
KH23,hoang,2003,0961814002
KH24,hoang,2003,0961814002
KH25,hoang,2003,0961814002
